     80/99     1.71G   0.02746   0.03853  0.002135   0.06813        60       640    0.8439    0.8237    0.8579    0.4773   0.03111    0.0352  0.004555
     81/99     1.71G   0.02752   0.03829  0.002191     0.068        21       640    0.8296    0.8295    0.8618    0.4763    0.0311    0.0355  0.004267
     82/99     1.71G   0.02728   0.03814  0.002295   0.06772        63       640    0.8256    0.8301    0.8548    0.4785    0.0308   0.03508  0.004811
     83/99     1.71G   0.02749   0.03769  0.002149   0.06733        50       640    0.8549    0.8076    0.8573    0.4764   0.03097   0.03533  0.005119
     84/99     1.71G   0.02759   0.03854  0.002237   0.06837        47       640    0.8501    0.8096    0.8538    0.4788   0.03096   0.03549  0.004483
     85/99     1.71G   0.02712   0.03881  0.002097   0.06802        80       640    0.8498    0.8065    0.8507    0.4762   0.03087   0.03539  0.004914
     86/99     1.71G    0.0272    0.0381  0.002101    0.0674        53       640    0.8506    0.8262    0.8594    0.4795   0.03084   0.03574  0.004596
     87/99     1.71G   0.02698   0.03763  0.002081   0.06669        73       640     0.858    0.8162    0.8642    0.4839   0.03068   0.03539  0.004425
     88/99     1.71G   0.02736    0.0375  0.002369   0.06723        65       640    0.8497    0.8211    0.8573    0.4811   0.03093   0.03572  0.004377
     89/99     1.71G     0.027   0.03708  0.002086   0.06617        81       640    0.8607    0.7997    0.8533    0.4781   0.03107   0.03568  0.004567
     90/99     1.71G   0.02711   0.03799  0.002101   0.06721        59       640    0.8464    0.8102    0.8587    0.4806   0.03097   0.03578  0.004816
     91/99     1.71G   0.02705   0.03801  0.002023   0.06708        52       640    0.8249    0.8305    0.8546    0.4798   0.03092   0.03545  0.004753
     92/99     1.71G    0.0268    0.0375  0.001951   0.06625        42       640    0.8349    0.8406    0.8606    0.4796   0.03079   0.03546   0.00488
     93/99     1.71G   0.02702    0.0366  0.002057   0.06567        70       640    0.8712    0.8068    0.8561    0.4778    0.0308   0.03545  0.004796
     94/99     1.71G   0.02657   0.03718  0.002064   0.06582        49       640    0.8386    0.8371    0.8568    0.4741   0.03089   0.03572  0.004907
     95/99     1.71G   0.02661   0.03771   0.00207   0.06639        54       640    0.8523     0.824    0.8567    0.4754   0.03087   0.03604  0.004601
     96/99     1.71G   0.02683   0.03786  0.001992   0.06668        82       640    0.8622    0.8218    0.8621    0.4773   0.03095     0.036  0.004658
     97/99     1.71G   0.02645   0.03571     0.002   0.06416        37       640    0.8529    0.8254     0.862    0.4775   0.03096   0.03609  0.004818
     98/99     1.71G   0.02653   0.03818  0.002009   0.06673        67       640    0.8537    0.8304    0.8617    0.4789   0.03093   0.03589  0.004434
     99/99     1.71G   0.02639   0.03771  0.001824   0.06592        74       640    0.8482    0.8293    0.8613    0.4784   0.03104    0.0361  0.004733
